# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 11.1 Build 259 01/25/2012 Service Pack 2 SJ Web Edition
# File: C:\Users\Laama\Documents\Project\B3\Audio.csv
# Generated on: Fri Mar 30 12:36:41 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Current Strength,Slew Rate
adc_cs_n,Unknown,PIN_A10,7,B7_N0,3.3-V LVTTL,,
adc_saddr,Unknown,PIN_B10,7,B7_N0,3.3-V LVTTL,,
adc_sclk,Unknown,PIN_B14,7,B7_N0,3.3-V LVTTL,,
adc_sdat,Unknown,PIN_A9,7,B7_N0,3.3-V LVTTL,,

rasp_scl	,Bidir,PIN_C16,6,B6_N0,3.3-V LVTTL,4mA,
rasp_sda	,Bidir,PIN_B16,6,B6_N0,3.3-V LVTTL,4mA,
gpio_2[2]	,Unknown,PIN_C14,7,B7_N0,3.3-V LVTTL,,
#rasp_mosi	,Input,PIN_C16,6,B6_N0,3.3-V LVTTL,,
rasp_miso	,Output,PIN_C15,6,B6_N0,3.3-V LVTTL,4mA,
rasp_sclk	,Input,PIN_D16,6,B6_N0,3.3-V LVTTL,,
gpio_2[6],Unknown,PIN_D15,6,B6_N0,3.3-V LVTTL,,
gpio_2[7],Unknown,PIN_D14,7,B7_N0,3.3-V LVTTL,,
gpio_2[8],Unknown,PIN_F15,6,B6_N0,3.3-V LVTTL,,
gpio_2[9],Unknown,PIN_F16,6,B6_N0,3.3-V LVTTL,,
gpio_2[10],Unknown,PIN_F14,6,B6_N0,3.3-V LVTTL,,
gpio_2[11],Unknown,PIN_G16,6,B6_N0,3.3-V LVTTL,,
gpio_2[12],Unknown,PIN_G15,6,B6_N0,3.3-V LVTTL,,
gpio_2_in[0],Unknown,PIN_E15,6,B6_N0,3.3-V LVTTL,,
gpio_2_in[1],Unknown,PIN_E16,6,B6_N0,3.3-V LVTTL,,
gpio_2_in[2],Unknown,PIN_M16,5,B5_N0,3.3-V LVTTL,,


#Board 1, GPIO 0
gnd[0]		,Input,PIN_A8,8,B8_N0,3.3-V LVTTL,,		#GPIO_0_IN[0]
gnd[1]		,Input,PIN_D3,8,B8_N0,3.3-V LVTTL,,		#GPIO_0[0]
gnd[2]  	,Input,PIN_B8,8,B8_N0,3.3-V LVTTL,,		#GPIO_0_IN[1]
wm8731_bclk_0	,Output,PIN_C3,8,B8_N0,3.3-V LVCMOS,2mA,0 	#GPIO_0[1]
wm8731_daclrc_0 ,Output,PIN_A2,8,B8_N0,3.3-V LVCMOS,2mA,		#GPIO_0[2]
wm8731_dacdat_0 ,Output,PIN_A3,8,B8_N0,3.3-V LVCMOS,2mA,		#GPIO_0[3]
wm8731_adcdat_0 ,Input,PIN_B3,8,B8_N0,3.3-V LVCMOS,2mA,		#GPIO_0[4]
wm8731_adclrc_0 ,Output,PIN_B4,8,B8_N0,3.3-V LVCMOS,2mA,		#GPIO_0[5]
wm8731_csb_0 	,Output,PIN_A4,8,B8_N0,3.3-V LVCMOS,2mA,		#GPIO_0[6]
wm8731_sdin_0 	,Bidir,PIN_B5,8,B8_N0,3.3-V LVCMOS,2mA,		#GPIO_0[7]

wm8731_sclk_0 	,Output,PIN_A5,8,B8_N0,3.3-V LVCMOS,2mA,		#GPIO_0[8]
gnd[3]		,Input,PIN_D5,8,B8_N0,3.3-V LVTTL,,		#GPIO_0[9]
wm8731_mclk_0   ,Output,PIN_B6,8,B8_N0,3.3-V LVCMOS,2mA,0	#GPIO_0[10]
gnd[4]		,Input,PIN_A6,8,B8_N0,3.3-V LVTTL,,		#GPIO_0[11]
gnd[5]		,Input,PIN_B7,8,B8_N0,3.3-V LVTTL,, 		#GPIO_0[12]
gnd[6]		,Input,PIN_D6,8,B8_N0,3.3-V LVTTL,,		#GPIO_0[13]
gnd[7]		,Input,PIN_A7,8,B8_N0,3.3-V LVTTL,,		#GPIO_0[14]
gnd[8]		,Input,PIN_C6,8,B8_N0,3.3-V LVTTL,,		#GPIO_0[15]
gnd[9]		,Input,PIN_C8,8,B8_N0,3.3-V LVTTL,,		#GPIO_0[16]
gnd[10]		,Input,PIN_E6,8,B8_N0,3.3-V LVTTL,,		#GPIO_0[17]
gnd[11]		,Input,PIN_E7,8,B8_N0,3.3-V LVTTL,,		#GPIO_0[18]
gnd[12]		,Input,PIN_D8,8,B8_N0,3.3-V LVTTL,,		#GPIO_0[19]
dpot_scl_0	,Bidir,PIN_E8,8,B8_N0,3.3-V LVTTL,4mA,		#GPIO_0[20]
gnd[13]		,Input,PIN_F8,8,B8_N0,3.3-V LVTTL,,		#GPIO_0[21]
dpot_sda_0	,Bidir,PIN_F9,7,B7_N0,3.3-V LVTTL,4mA,		#GPIO_1[22]
gnd[14]		,Input,PIN_E9,7,B7_N0,3.3-V LVTTL,,		#GPIO_1[23]

gnd[15]		,Input,PIN_C9,7,B7_N0,3.3-V LVTTL,,		#GPIO_0[24]
gnd[16]		,Input,PIN_D9,7,B7_N0,3.3-V LVTTL,,		#GPIO_0[25]
uart_txd_0	,Output,PIN_E11,7,B7_N0,3.3-V LVTTL,4mA,	#GPIO_0[26]
gnd[17]		,Input,PIN_E10,7,B7_N0,3.3-V LVTTL,,		#GPIO_0[27]
uart_rxd_0	,Input,PIN_C11,7,B7_N0,3.3-V LVTTL,,		#GPIO_0[28]
gnd[18]		,Input,PIN_B11,7,B7_N0,3.3-V LVTTL,,		#GPIO_0[29]
gnd[19]		,Input,PIN_A12,7,B7_N0,3.3-V LVTTL,,		#GPIO_0[30]
gnd[20]		,Input,PIN_D11,7,B7_N0,3.3-V LVTTL,,		#GPIO_0[31]
gnd[21]		,Input,PIN_D12,7,B7_N0,3.3-V LVTTL,,		#GPIO_0[32]
debug		,Output,PIN_B12,7,B7_N0,3.3-V LVTTL,,		#GPIO_0[33]


# Board 2, GPIO 1

gnd[23]		,Input,PIN_T9,4,B4_N0,3.3-V LVTTL,,		#GPIO_1_IN[0]
gnd[24]		,Input,PIN_F13,6,B6_N0,3.3-V LVTTL,,		#GPIO_1[0]
gnd[25]		,Input,PIN_R9,4,B4_N0,3.3-V LVTTL,,		#GPIO_1_IN[1]
wm8731_bclk_1	,Output,PIN_T15,4,B4_N0,3.3-V LVTTL,4mA,	#GPIO_1[1]
wm8731_daclrc_1	,Output,PIN_T14,4,B4_N0,3.3-V LVTTL,,		#GPIO_1[2]
wm8731_dacdat_1	,Output,PIN_T13,4,B4_N0,3.3-V LVTTL,,		#GPIO_1[3]
wm8731_adcdat_1	,Input,PIN_R13,4,B4_N0,3.3-V LVTTL,, 		#GPIO_1[4]
wm8731_adclrc_1	,Output,PIN_T12,4,B4_N0,3.3-V LVTTL,,		#GPIO_1[5]
wm8731_csb_1	,Output,PIN_R12,4,B4_N0,3.3-V LVTTL,,		#GPIO_1[6]
wm8731_sdin_1	,Bidir,PIN_T11,4,B4_N0,3.3-V LVTTL,, 		#GPIO_1[7]

wm8731_sclk_1	,Output,PIN_T10,4,B4_N0,3.3-V LVTTL,,		#GPIO_1[8]
gnd[26]		,Input,PIN_R11,4,B4_N0,3.3-V LVTTL,, 				#GPIO_1[9]
wm8731_mclk_1	,Output,PIN_P11,4,B4_N0,3.3-V LVTTL,,				#GPIO_1[10]
gnd[27]		,Input,PIN_R10,4,B4_N0,3.3-V LVTTL,,				#GPIO_1[11]
gnd[28]		,Input,PIN_N12,4,B4_N0,3.3-V LVTTL,,				#GPIO_1[12]
gnd[29]		,Input,PIN_P9,4,B4_N0,3.3-V LVTTL,,					#GPIO_1[13]
gnd[30]		,Input,PIN_N9,4,B4_N0,3.3-V LVTTL,,					#GPIO_1[14]
gnd[31]		,Input,PIN_N11,4,B4_N0,3.3-V LVTTL,,				#GPIO_1[15]
gnd[32]		,Input,PIN_L16,5,B5_N0,3.3-V LVTTL,,				#GPIO_1[16]
gnd[33]		,Input,PIN_K16,5,B5_N0,3.3-V LVTTL,,				#GPIO_1[17]
gnd[34]		,Input,PIN_R16,5,B5_N0,3.3-V LVTTL,,				#GPIO_1[18]
gnd[35]		,Input,PIN_L15,5,B5_N0,3.3-V LVTTL,,				#GPIO_1[19]
dpot_scl_1	,Bidir,PIN_P15,5,B5_N0,3.3-V LVTTL,4mA,				#GPIO_1[20]
gnd[36] 	,Input,PIN_P16,5,B5_N0,3.3-V LVTTL,,				#GPIO_1[21]
dpot_sda_1	,Bidir,PIN_R14,4,B4_N0,3.3-V LVTTL,4mA,			#GPIO_1[22]
gnd[37]		,Input,PIN_N16,5,B5_N0,3.3-V LVTTL,,				#GPIO_1[23]

#unused
gpio_1[38],Unknown,PIN_N15,5,B5_N0,3.3-V LVTTL,,
gpio_1[39],Unknown,PIN_P14,4,B4_N0,3.3-V LVTTL,,
gpio_1[40],Unknown,PIN_L14,5,B5_N0,3.3-V LVTTL,,
gpio_1[41],Unknown,PIN_N14,5,B5_N0,3.3-V LVTTL,,
gpio_1[42],Unknown,PIN_M10,4,B4_N0,3.3-V LVTTL,,
gpio_1[43],Unknown,PIN_L13,5,B5_N0,3.3-V LVTTL,,
gpio_1[44],Unknown,PIN_J16,5,B5_N0,3.3-V LVTTL,,
gpio_1[45],Unknown,PIN_K15,5,B5_N0,3.3-V LVTTL,,
gpio_1[46],Unknown,PIN_J13,5,B5_N0,3.3-V LVTTL,,
gpio_1[47],Unknown,PIN_J14,5,B5_N0,3.3-V LVTTL,,
